threshold,tp,fn,tn,fp,precision,recall,fmeasure,accuracy,goodness
1,37,0,0,55,0.402,1.0,0.573,0.402,0.402
2,37,0,18,37,0.5,1.0,0.667,0.598,0.5
3,36,1,27,28,0.563,0.973,0.713,0.685,0.585
4,36,1,28,27,0.571,0.973,0.72,0.696,0.594
5,34,3,31,24,0.586,0.919,0.716,0.707,0.656
6,33,4,36,19,0.635,0.892,0.742,0.75,0.732
7,31,6,38,17,0.646,0.838,0.73,0.75,0.796
8,30,7,39,16,0.652,0.811,0.723,0.75,0.83
9,30,7,42,13,0.698,0.811,0.75,0.783,0.88
10,30,7,42,13,0.698,0.811,0.75,0.783,0.88
11,28,9,42,13,0.683,0.757,0.718,0.761,0.92
12,27,10,44,11,0.711,0.73,0.72,0.772,0.979
13,25,12,45,10,0.714,0.676,0.694,0.761,0.957
14,22,15,45,10,0.688,0.595,0.638,0.728,0.894
15,21,16,46,9,0.7,0.568,0.627,0.728,0.848
16,20,17,46,9,0.69,0.541,0.606,0.717,0.826
17,20,17,46,9,0.69,0.541,0.606,0.717,0.826
18,20,17,46,9,0.69,0.541,0.606,0.717,0.826
19,20,17,47,8,0.714,0.541,0.616,0.728,0.8
20,19,18,47,8,0.704,0.514,0.594,0.717,0.778
21,19,18,47,8,0.704,0.514,0.594,0.717,0.778
22,19,18,48,7,0.731,0.514,0.604,0.728,0.75
23,18,19,51,4,0.818,0.486,0.61,0.75,0.634
24,18,19,51,4,0.818,0.486,0.61,0.75,0.634
25,18,19,51,4,0.818,0.486,0.61,0.75,0.634
26,18,19,51,4,0.818,0.486,0.61,0.75,0.634
27,17,20,52,3,0.85,0.459,0.596,0.75,0.575
28,16,21,53,2,0.889,0.432,0.581,0.75,0.513
29,16,21,53,2,0.889,0.432,0.581,0.75,0.513
30,15,22,53,2,0.882,0.405,0.555,0.739,0.487
31,15,22,53,2,0.882,0.405,0.555,0.739,0.487
32,13,24,53,2,0.867,0.351,0.5,0.717,0.436
33,13,24,53,2,0.867,0.351,0.5,0.717,0.436
34,13,24,53,2,0.867,0.351,0.5,0.717,0.436
35,13,24,53,2,0.867,0.351,0.5,0.717,0.436
36,13,24,53,2,0.867,0.351,0.5,0.717,0.436
37,12,25,53,2,0.857,0.324,0.47,0.707,0.41
38,12,25,53,2,0.857,0.324,0.47,0.707,0.41
39,12,25,53,2,0.857,0.324,0.47,0.707,0.41
40,12,25,53,2,0.857,0.324,0.47,0.707,0.41
41,12,25,53,2,0.857,0.324,0.47,0.707,0.41
42,12,25,53,2,0.857,0.324,0.47,0.707,0.41
43,10,27,53,2,0.833,0.27,0.408,0.685,0.359
44,9,28,53,2,0.818,0.243,0.375,0.674,0.333
45,9,28,53,2,0.818,0.243,0.375,0.674,0.333
46,9,28,53,2,0.818,0.243,0.375,0.674,0.333
47,9,28,53,2,0.818,0.243,0.375,0.674,0.333
48,9,28,53,2,0.818,0.243,0.375,0.674,0.333
49,9,28,53,2,0.818,0.243,0.375,0.674,0.333
50,9,28,53,2,0.818,0.243,0.375,0.674,0.333
